event_id,session_id,user_id,event_ts,event_name,page_url,product_id
E0006072,S001540,U0215,2025-03-16T10:52:43Z,page_view,/category/electronics,
E0006073,S001540,U0215,2025-03-16T11:20:14Z,page_view,/help,
E0008195,S002082,U0058,2025-03-27T16:01:23Z,page_view,/category/shoes,
E0008196,S002082,U0058,2025-03-27T16:01:42Z,page_view,/category/shoes,
E0008197,S002082,U0058,2025-03-27T16:02:45Z,page_view,/search,
E0008198,S002082,U0058,2025-03-27T16:05:02Z,view_item,/product/p0476,P0476
E0008199,S002082,U0058,2025-03-27T16:05:20Z,add_to_cart,/product/p0476,P0476
E0008200,S002082,U0058,2025-03-27T16:07:43Z,begin_checkout,/checkout,P0476
E0008201,S002082,U0058,2025-03-27T16:09:20Z,purchase,/thank-you,P0476
E0000065,S000017,U0024,2025-03-28T13:11:21Z,page_view,/category/home,
E0000066,S000017,U0024,2025-03-28T13:13:24Z,view_item,/product/p0364,P0364
E0000069,S000017,U0024,2025-03-28T13:14:29Z,page_view,/search,
E0000068,S000017,U0024,2025-03-28T13:27:54Z,page_view,/category/shoes,
E0000067,S000017,U0024,2025-03-28T13:28:42Z,page_view,/cart,
E0007584,S001928,U0024,2025-04-03T18:41:29Z,page_view,/search,
E0007585,S001928,U0024,2025-04-03T18:41:43Z,page_view,/search,
E0007586,S001928,U0024,2025-04-03T18:42:47Z,view_item,/product/p0335,P0335
E0007587,S001928,U0024,2025-04-03T18:44:33Z,add_to_cart,/product/p0335,P0335
E0007588,S001928,U0024,2025-04-03T18:45:33Z,begin_checkout,/checkout,P0335
E0007589,S001928,U0024,2025-04-03T18:46:41Z,purchase,/thank-you,P0335
E0007590,S001928,U0024,2025-04-03T19:02:52Z,page_view,/category/shoes,
E0002191,S000566,U0173,2025-04-08T22:09:00Z,page_view,/,
E0002192,S000566,U0173,2025-04-08T22:11:40Z,view_item,/product/p0288,P0288
E0002194,S000566,U0173,2025-04-08T22:18:22Z,page_view,/category/shoes,
E0002193,S000566,U0173,2025-04-08T22:33:25Z,page_view,/help,
E0009610,S002442,U0074,2025-04-11T15:07:39Z,page_view,/,
E0009611,S002442,U0074,2025-04-11T15:07:50Z,page_view,/,
