order_id,user_id,order_ts,revenue_gross,revenue_net,currency,status
O000137,U0058,2025-03-27T16:02:11Z,699.73,651.96,PLN,paid
O000126,U0024,2025-04-03T19:30:36Z,275.02,223.55,PLN,paid
O000167,U0189,2025-04-28T02:53:00Z,87.59,74.53,EUR,refunded
O000045,U0017,2025-05-23T00:22:46Z,166.28,141.75,PLN,paid
O000151,U0089,2025-05-29T17:09:09Z,31.21,29.6,EUR,paid
O000025,U0117,2025-06-02T07:35:20Z,37.24,34.73,EUR,paid
O000121,U0026,2025-06-02T22:35:40Z,111.6,97.07,EUR,paid
O000082,U0235,2025-06-15T00:00:11Z,124.18,108.21,PLN,paid
O000124,U0092,2025-06-19T09:27:30Z,720.13,656.11,CZK,paid
O000182,U0064,2025-06-26T11:12:15Z,465.26,449.62,PLN,paid
O000078,U0244,2025-06-30T01:56:33Z,183.76,160.76,PLN,refunded
O000002,U0215,2025-06-30T12:30:12Z,1475.72,1223.82,CZK,paid
O000176,U0120,2025-07-02T16:32:31Z,47.41,46.44,EUR,paid
O000165,U0081,2025-07-11T14:09:03Z,28.4,27.23,EUR,canceled
O000021,U0014,2025-07-12T08:09:05Z,459.37,387.16,PLN,paid
O000184,U0244,2025-07-16T07:17:11Z,244.26,221.38,PLN,paid
O000158,U0046,2025-07-16T17:39:08Z,105.58,98.63,GBP,paid
O000098,U0143,2025-07-29T19:17:40Z,92.1,79.84,EUR,paid
O000106,U0005,2025-08-01T02:58:48Z,398.76,336.01,PLN,paid
O000003,U0008,2025-08-03T22:51:50Z,88.98,82.79,EUR,paid
O000074,U0120,2025-08-14T05:54:58Z,102.18,95.27,EUR,paid
O000125,U0124,2025-08-24T12:03:40Z,161.82,154.17,PLN,paid
O000030,U0133,2025-08-29T19:16:23Z,465.18,404.63,PLN,paid
O000065,U0156,2025-09-06T13:31:46Z,143.6,133.53,PLN,paid
O000064,U0154,2025-09-07T05:19:09Z,65.06,59.2,EUR,paid
O000149,U0020,2025-09-09T00:38:02Z,253.41,222.14,PLN,paid
O000180,U0222,2025-09-09T06:20:55Z,48.18,40.59,EUR,canceled
O000142,U0186,2025-09-11T11:06:44Z,21.32,19.65,GBP,refunded
O000141,U0213,2025-09-13T11:25:14Z,39.29,34.45,GBP,paid
O000169,U0133,2025-09-17T10:34:56Z,83.67,75.04,PLN,paid
O000168,U0105,2025-09-22T16:27:04Z,103.73,101.15,EUR,paid
O000023,U0074,2025-09-25T06:19:24Z,82.87,70.83,EUR,paid
O000088,U0149,2025-09-25T19:28:35Z,616.91,547.07,PLN,paid
O000135,U0084,2025-09-29T04:38:03Z,115.55,93.19,PLN,paid
O000146,U0133,2025-10-06T17:46:07Z,179.58,152.31,PLN,paid
O000173,U0053,2025-10-06T22:33:17Z,115.66,101.23,EUR,canceled
O000061,U0046,2025-10-10T18:26:11Z,36.74,31.09,GBP,paid
O000055,U0074,2025-10-11T08:17:32Z,46.2,43.42,EUR,paid
O000172,U0149,2025-10-13T11:45:50Z,155.58,140.29,PLN,paid
O000133,U0054,2025-10-18T18:01:39Z,35.37,29.42,EUR,paid
O000083,U0098,2025-10-19T10:34:42Z,24.54,22.97,EUR,paid
O000090,U0108,2025-10-21T02:47:11Z,1070.71,899.4,CZK,paid
O000177,U0166,2025-10-21T09:26:50Z,27.28,24.35,EUR,paid
O000013,U0062,2025-10-26T05:25:54Z,106.09,93.65,PLN,canceled
O000079,U0120,2025-10-26T20:42:42Z,36.26,29.68,EUR,paid
O000157,U0221,2025-10-28T14:13:35Z,44.56,36.3,GBP,paid
O000017,U0189,2025-10-28T21:08:02Z,41.12,39.28,EUR,paid
O000050,U0040,2025-11-02T16:39:46Z,68.3,59.83,EUR,paid
O000047,U0064,2025-11-04T12:46:55Z,450.71,384.58,PLN,paid
O000046,U0169,2025-11-06T15:36:58Z,149.02,122.64,PLN,paid
O000071,U0035,2025-11-06T21:20:49Z,65.38,55.79,EUR,paid
O000077,U0172,2025-11-09T19:48:24Z,137.79,111.44,PLN,paid
O000028,U0146,2025-11-11T02:43:41Z,178.32,161.37,PLN,paid
O000189,U0068,2025-11-13T00:03:59Z,12.98,10.97,EUR,paid
O000095,U0016,2025-11-14T15:07:42Z,606.61,506.31,PLN,refunded
O000096,U0084,2025-11-16T01:04:27Z,229.33,185.99,PLN,paid
O000175,U0237,2025-11-19T05:46:25Z,238.4,226.55,PLN,canceled
O000043,U0063,2025-11-20T14:42:24Z,74.4,68.87,EUR,paid
O000081,U0237,2025-11-21T07:36:47Z,213.74,203.5,PLN,paid
O000136,U0134,2025-11-27T13:15:34Z,308.33,282.29,PLN,canceled
O000131,U0018,2025-11-28T03:17:43Z,29.52,25.98,EUR,canceled
O000109,U0040,2025-12-01T05:35:45Z,31.68,25.55,EUR,paid
O000076,U0148,2025-12-02T08:54:41Z,48.92,46.14,EUR,paid
O000154,U0076,2025-12-04T14:19:07Z,2288.67,2114.61,CZK,paid
O000134,U0062,2025-12-05T05:35:37Z,646.54,519.26,PLN,paid
O000091,U0171,2025-12-07T11:02:56Z,112.4,91.69,GBP,paid
O000105,U0025,2025-12-07T18:40:38Z,36.67,30.72,EUR,paid
O000085,U0187,2025-12-08T07:01:48Z,55.22,45.3,EUR,paid
O000132,U0222,2025-12-09T06:16:28Z,26.58,23.38,EUR,paid
O000062,U0202,2025-12-09T21:15:36Z,442.05,359.1,PLN,paid
O000040,U0210,2025-12-10T08:37:22Z,69.33,61.74,PLN,paid
O000181,U0191,2025-12-11T03:55:29Z,416.41,371.39,PLN,paid
O000159,U0196,2025-12-11T20:53:46Z,418.73,336.69,PLN,paid
O000153,U0143,2025-12-12T03:53:42Z,37.88,36.35,EUR,paid
O000140,U0093,2025-12-13T21:09:30Z,2352.22,2086.32,CZK,paid
O000102,U0005,2025-12-15T12:12:31Z,343.05,309.95,PLN,paid
O000150,U0052,2025-12-16T08:26:43Z,1133.78,932.15,CZK,paid
O000160,U0027,2025-12-16T12:12:39Z,164.84,140.67,PLN,paid
O000163,U0164,2025-12-17T18:34:47Z,65.38,55.43,EUR,paid
O000188,U0159,2025-12-17T18:58:20Z,262.17,255.24,PLN,paid
O000130,U0072,2025-12-19T00:15:11Z,72.17,66.92,PLN,refunded
O000039,U0021,2025-12-20T03:43:02Z,135.01,127.88,GBP,paid
O000148,U0165,2025-12-20T23:06:10Z,218.26,205.71,PLN,canceled
O000037,U0249,2025-12-23T00:55:51Z,33.72,28.43,EUR,paid
O000164,U0202,2025-12-23T09:51:38Z,169.74,151.02,PLN,paid
O000094,U0123,2025-12-25T05:20:52Z,67.51,64.77,PLN,paid
O000063,U0025,2025-12-26T18:02:54Z,41.28,37.35,EUR,paid
O000014,U0099,2025-12-26T20:13:23Z,172.58,144.86,PLN,refunded
O000029,U0177,2025-12-27T07:26:45Z,90.02,80.77,GBP,refunded
O000009,U0250,2025-12-27T17:57:42Z,64.29,57.95,EUR,paid
O000111,U0170,2025-12-27T19:26:11Z,45.63,41.96,GBP,paid
O000007,U0189,2025-12-27T21:40:29Z,59.8,50.6,EUR,paid
O000051,U0247,2025-12-28T05:54:23Z,101.59,86.07,EUR,paid
O000170,U0223,2025-12-28T13:39:40Z,301.1,253.06,PLN,paid
O000118,U0029,2025-12-28T22:14:43Z,64.97,52.15,GBP,paid
O000185,U0232,2025-12-29T05:40:18Z,88.24,72.82,EUR,canceled
O000089,U0103,2025-12-29T21:17:09Z,145.92,124.81,PLN,paid
O000072,U0088,2025-12-29T23:30:36Z,35.85,34.44,GBP,paid
O000027,U0212,2025-12-30T11:45:27Z,90.62,77.27,GBP,paid
O000067,U0144,2025-12-30T12:51:53Z,248.41,209.7,PLN,paid
