session_id,user_id,session_start_ts,source,medium,device
S001540,U0215,2025-03-16T10:52:27Z,bing,organic,mobile
S002082,U0058,2025-03-27T16:01:08Z,direct,(none),desktop
S000017,U0024,2025-03-28T13:11:10Z,google,cpc,desktop
S001928,U0024,2025-04-03T18:41:24Z,google,cpc,mobile
S000566,U0173,2025-04-08T22:08:52Z,linkedin,paid_social,mobile
S002442,U0074,2025-04-11T15:07:16Z,google,organic,mobile
S001124,U0075,2025-04-15T04:19:14Z,google,cpc,desktop
S000348,U0215,2025-04-15T13:09:47Z,google,cpc,mobile
S000593,U0222,2025-04-18T15:44:47Z,direct,(none),mobile
S001352,U0165,2025-04-18T15:46:05Z,facebook,paid_social,desktop
S000286,U0037,2025-04-20T19:52:53Z,google,organic,desktop
S002190,U0222,2025-04-23T06:19:05Z,affiliate,affiliate,mobile
S000222,U0189,2025-04-24T03:07:43Z,direct,(none),mobile
S002453,U0156,2025-04-27T23:01:20Z,direct,(none),desktop
S001175,U0215,2025-04-29T06:16:51Z,linkedin,social,desktop
S001132,U0017,2025-05-01T20:06:35Z,google,cpc,desktop
S000853,U0173,2025-05-08T02:49:25Z,facebook,social,desktop
S002430,U0049,2025-05-08T19:01:36Z,direct,(none),desktop
S000088,U0225,2025-05-12T16:02:02Z,direct,(none),mobile
S001860,U0125,2025-05-12T20:32:24Z,google,cpc,mobile
S001873,U0215,2025-05-13T00:52:31Z,affiliate,affiliate,mobile
S000077,U0058,2025-05-14T19:43:45Z,google,cpc,desktop
S000112,U0158,2025-05-15T14:08:06Z,newsletter,email,desktop
S001321,U0014,2025-05-19T12:57:19Z,facebook,paid_social,mobile
S001271,U0151,2025-05-20T01:30:35Z,direct,(none),mobile
S001715,U0187,2025-05-21T17:44:50Z,google,cpc,desktop
S000761,U0017,2025-05-22T23:34:22Z,bing,organic,desktop
S002086,U0003,2025-05-23T04:03:50Z,direct,(none),desktop
S000897,U0017,2025-05-25T13:15:21Z,newsletter,email,desktop
S001962,U0222,2025-05-27T02:44:12Z,facebook,paid_social,desktop
S002386,U0089,2025-05-29T16:56:50Z,google,organic,desktop
S000360,U0230,2025-05-30T21:46:41Z,newsletter,email,desktop
S001597,U0003,2025-05-31T22:05:04Z,linkedin,paid_social,mobile
S000472,U0117,2025-06-02T06:59:16Z,direct,(none),mobile
S001874,U0026,2025-06-02T22:12:17Z,facebook,paid_social,desktop
S001897,U0203,2025-06-03T09:23:38Z,google,organic,mobile
S002073,U0062,2025-06-05T12:59:33Z,facebook,paid_social,tablet
S001269,U0007,2025-06-06T01:30:24Z,facebook,paid_social,desktop
S001875,U0226,2025-06-06T04:11:54Z,affiliate,affiliate,mobile
S001245,U0239,2025-06-07T12:42:43Z,facebook,social,desktop
S000637,U0074,2025-06-08T16:11:44Z,bing,cpc,desktop
S000499,U0157,2025-06-10T06:12:33Z,direct,(none),desktop
S002555,U0021,2025-06-10T15:51:57Z,direct,(none),desktop
S000726,U0014,2025-06-11T21:23:36Z,facebook,paid_social,mobile
S000830,U0223,2025-06-12T03:03:11Z,tiktok,social,mobile
S001635,U0077,2025-06-12T14:43:13Z,google,organic,mobile
S001694,U0101,2025-06-13T01:49:36Z,google,cpc,tablet
