,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12561,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19989865.0,19989865.0,False,1378164726740.47,,1,,,,2026-02-15T16:15:00.000Z,68943.17329008847,36238383589.430664,-3.9264,-0.33157254,-1.03476432,-2.88051248,-27.19315043,-20.56674673,-25.91341743,1378164726740.4744,58.3722,1447806639091.86,,2026-02-15T16:15:00.000Z,,,,,,2026-02-15 17:17:21.828622
1,1027,Ethereum,ETH,ethereum,11567,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem']",,120692457.89999667,120692457.89999667,True,241713979209.85,,2,,,,2026-02-15T16:15:00.000Z,2002.7264620803892,25295215012.45163,44.5736,-0.48467887,-3.66837744,-5.02981262,-38.73526131,-30.2760742,-34.76049141,241713979209.84665,10.2378,241713979209.85,,2026-02-15T16:15:00.000Z,,,,,,2026-02-15 17:17:21.828622
2,825,Tether USDt,USDT,tether,171236,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,183755310128.52243,187964839850.83615,True,187873609683.81,,3,,,,2026-02-15T16:15:00.000Z,0.999514642381517,85479050890.09636,14.7115,0.00953708,-0.02410288,0.01142573,0.0197697,-0.0622787,0.02869322,183666123088.81485,7.7792,187873609683.81,,2026-02-15T16:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-02-15 17:17:21.828622
3,52,XRP,XRP,xrp,1798,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60917315351.0,99985721048.0,False,151486219962.59,,4,,,,2026-02-15T16:16:00.000Z,1.5150785369629403,5691298645.209928,134.5358,-1.54850793,3.60549576,5.23000252,-25.63698636,-20.44699167,-30.517869,92294517017.70314,3.9091,151507853696.29,,2026-02-15T16:16:00.000Z,,,,,,2026-02-15 17:17:21.828622
4,1839,BNB,BNB,bnb,3134,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",136359284.48,136359283.32,136359283.32,False,84432382457.59,,5,,,,2026-02-15T16:16:00.000Z,619.190570688559,1465075825.8445985,-6.4218,-0.46906832,-2.22790042,-3.7304858,-33.28054672,-27.26582893,-31.44739561,84432382457.5937,3.5761,84432383175.85,,2026-02-15T16:16:00.000Z,,,,,,2026-02-15 17:17:21.828622
5,3408,USDC,USDC,usd-coin,37475,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,73577665840.58257,73577665840.58257,False,73578083024.43,,6,60901219650.23,60901564958.89291,,2026-02-15T16:15:00.000Z,1.0000056699794337,8292119607.390179,-2.6254,0.00929248,0.00703449,0.00610748,0.06384194,-0.06576288,0.02359371,73578083024.43466,3.1164,73578083024.43,,2026-02-15T16:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-02-15 17:17:21.828622
6,5426,Solana,SOL,solana,1089,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,567957551.4309566,620391073.2815809,True,54027462133.51,,7,525236893.3,45740852159.246254,,2026-02-15T16:15:00.000Z,87.08613721298593,3944874316.1405377,29.217,-0.54645857,-0.38053043,-0.43022962,-38.38056097,-31.13698601,-35.34872598,49461229255.0678,2.0949,54027462133.51,,2026-02-15T16:15:00.000Z,,,,,,2026-02-15 17:17:21.828622
7,1958,TRON,TRX,tron,1299,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94724706614.9391,94724706294.7143,True,26569688916.2,,8,94667886298.43,26553751261.871883,,2026-02-15T16:16:00.000Z,0.2804937587617002,451738874.8092078,-12.902,0.06731479,-0.93124223,0.38695794,-8.14539796,0.26764323,-4.11302404,26569689006.023556,1.1254,26569688916.2,,2026-02-15T16:16:00.000Z,,,,,,2026-02-15 17:17:21.828622
8,74,Dogecoin,DOGE,dogecoin,1401,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168752233126.57907,168752233126.57907,True,17995910084.15,,9,,,,2026-02-15T16:15:00.000Z,0.1066410189111582,2975390104.672421,210.8246,-2.06529423,2.85669916,9.27967563,-21.67859607,-17.23120369,-31.87076345,17995910084.151695,0.7622,17995910084.15,,2026-02-15T16:15:00.000Z,,,,,,2026-02-15 17:17:21.828622
9,1831,Bitcoin Cash,BCH,bitcoin-cash,1137,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19995196.875,19995196.875,False,11111127052.24,,10,,,,2026-02-15T16:15:00.000Z,555.6898049917278,314621781.4366576,-41.4229,-0.4266049,-1.73428715,4.9867557,-7.60859533,0.4258065,11.39769034,11111127052.239954,0.4706,11669485904.83,,2026-02-15T16:15:00.000Z,,,,,,2026-02-15 17:17:21.828622
10,2010,Cardano,ADA,cardano,1681,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,36066145196.64397,44994539820.15453,False,12730300119.54,,11,37997904336.0,10750742824.44648,,2026-02-15T16:16:00.000Z,0.28292988816914844,699550378.1842935,69.88,-1.0679546,-1.04389491,3.81409539,-25.89909975,-25.43903097,-39.96650807,10204190427.178747,0.4322,12731844967.61,,2026-02-15T16:16:00.000Z,,,,,,2026-02-15 17:17:21.828622
11,32196,Hyperliquid,HYPE,hyperliquid,238,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",961671487.86,259277557.4437796,958388465.8146007,False,29523106497.47,,12,333931719.0,10286749115.39045,,2026-02-15T16:16:00.000Z,30.804947628800875,215323787.977659,-2.3939,-0.50487144,-1.27020438,-2.46950784,24.06760416,15.51277169,-17.13941621,7987031578.379041,0.3383,29624239819.64,,2026-02-15T16:16:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2026-02-15 17:17:21.828622
12,3957,UNUS SED LEO,LEO,unus-sed-leo,67,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,921353012.9,985239504.0,False,8308270304.76,,13,,,,2026-02-15T16:16:00.000Z,8.432741755715698,1044092.22359894,78.4477,-0.01767465,-2.74304521,2.22390619,-5.41068636,18.52708028,-7.44371133,7769532023.636294,0.3291,8308270304.76,,2026-02-15T16:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2026-02-15 17:17:21.828622
